county,state,"Rates of Persons Living with HIV, 2020"
"Lake","Oregon",73
"Lane","Oregon",131
"Lincoln","Oregon",116
"Linn","Oregon",106
"Malheur","Oregon",155
"Marion","Oregon",157
"Morrow","Oregon",96
"Multnomah","Oregon",465
"Polk","Oregon",95
"Sherman","Oregon",-1
"Tillamook","Oregon",105
"Umatilla","Oregon",108
"Union","Oregon",76
"Wallowa","Oregon",-1
"Wasco","Oregon",121
"Washington","Oregon",170
"Wheeler","Oregon",0
"Yamhill","Oregon",108
"Adams","Pennsylvania",205
"Allegheny","Pennsylvania",294
"Armstrong","Pennsylvania",81
"Beaver","Pennsylvania",97
"Bedford","Pennsylvania",94
"Berks","Pennsylvania",320
"Blair","Pennsylvania",113
"Bradford","Pennsylvania",79
"Bucks","Pennsylvania",173
"Butler","Pennsylvania",61
"Cambria","Pennsylvania",121
"Cameron","Pennsylvania",-1
"Carbon","Pennsylvania",271
"Centre","Pennsylvania",149
"Chester","Pennsylvania",125
"Clarion","Pennsylvania",268
"Clearfield","Pennsylvania",119
"Clinton","Pennsylvania",77
"Columbia","Pennsylvania",184
"Crawford","Pennsylvania",117
"Cumberland","Pennsylvania",153
"Dauphin","Pennsylvania",484
"Delaware","Pennsylvania",308
"Elk","Pennsylvania",62
"Erie","Pennsylvania",136
"Fayette","Pennsylvania",114
"Forest","Pennsylvania",102
"Franklin","Pennsylvania",119
"Fulton","Pennsylvania",72
"Greene","Pennsylvania",98
"Huntingdon","Pennsylvania",115
"Indiana","Pennsylvania",62
"Jefferson","Pennsylvania",-1
"Juniata","Pennsylvania",106
"Lackawanna","Pennsylvania",236
"Lancaster","Pennsylvania",182
"Lawrence","Pennsylvania",100
"Lebanon","Pennsylvania",198
"Lehigh","Pennsylvania",393
"Luzerne","Pennsylvania",178
"Lycoming","Pennsylvania",198
"McKean","Pennsylvania",55
"Mercer","Pennsylvania",84
"Mifflin","Pennsylvania",80
"Monroe","Pennsylvania",237
"Montgomery","Pennsylvania",121
"Montour","Pennsylvania",123
"Northampton","Pennsylvania",73
"Northumberland","Pennsylvania",113
"Perry","Pennsylvania",59
"Philadelphia","Pennsylvania",1283
"Pike","Pennsylvania",264
"Potter","Pennsylvania",64
"Schuylkill","Pennsylvania",158
"Snyder","Pennsylvania",81
"Somerset","Pennsylvania",110
"Sullivan","Pennsylvania",-1
"Susquehanna","Pennsylvania",89
"Tioga","Pennsylvania",78
"Union","Pennsylvania",250
"Venango","Pennsylvania",78
"Warren","Pennsylvania",39
"Washington","Pennsylvania",59
"Wayne","Pennsylvania",73
"Westmoreland","Pennsylvania",50
"Wyoming","Pennsylvania",43
"York","Pennsylvania",232
"Adjuntas","Puerto Rico",159
"Aguada","Puerto Rico",65
"Aguadilla","Puerto Rico",243
"Aguas Buenas","Puerto Rico",242
"Aibonito","Puerto Rico",222
"Añasco","Puerto Rico",185
"Arecibo","Puerto Rico",397
"Arroyo","Puerto Rico",328
"Barceloneta","Puerto Rico",253
"Barranquitas","Puerto Rico",244
"Bayamón","Puerto Rico",643
"Cabo Rojo","Puerto Rico",120
"Caguas","Puerto Rico",447
"Camuy","Puerto Rico",160
"Canóvanas","Puerto Rico",350
"Carolina","Puerto Rico",535
"Cataño","Puerto Rico",1226
"Cayey","Puerto Rico",303
"Ceiba","Puerto Rico",335
"Ciales","Puerto Rico",423
"Cidra","Puerto Rico",234
"Coamo","Puerto Rico",136
"Comerío","Puerto Rico",300
"Corozal","Puerto Rico",293
"Culebra","Puerto Rico",-1
"Dorado","Puerto Rico",313
"Fajardo","Puerto Rico",409
"Florida","Puerto Rico",244
"Guánica","Puerto Rico",213
"Guayama","Puerto Rico",471
"Guayanilla","Puerto Rico",164
"Guaynabo","Puerto Rico",345
"Gurabo","Puerto Rico",248
"Hatillo","Puerto Rico",223
"Hormigueros","Puerto Rico",136
"Humacao","Puerto Rico",426
"Isabela","Puerto Rico",134
"Jayuya","Puerto Rico",101
"Juana Díaz","Puerto Rico",334
"Juncos","Puerto Rico",380
"Lajas","Puerto Rico",109
"Lares","Puerto Rico",167
"Las Marías","Puerto Rico",89
"Las Piedras","Puerto Rico",211
"Loíza","Puerto Rico",494
"Luquillo","Puerto Rico",289
"Manatí","Puerto Rico",333
"Maricao","Puerto Rico",-1
"Maunabo","Puerto Rico",374
"Mayagüez","Puerto Rico",298
"Moca","Puerto Rico",108
"Morovis","Puerto Rico",221
"Naguabo","Puerto Rico",262
"Naranjito","Puerto Rico",252
"Orocovis","Puerto Rico",207
"Patillas","Puerto Rico",252
"Peñuelas","Puerto Rico",228
"Ponce","Puerto Rico",547
"Quebradillas","Puerto Rico",278
"Rincón","Puerto Rico",139
"Rí­o Grande","Puerto Rico",235
"Sabana Grande","Puerto Rico",95
"Salinas","Puerto Rico",228
"San Germán","Puerto Rico",117
"San Juan","Puerto Rico",1231
"San Lorenzo","Puerto Rico",234
"San Sebastián","Puerto Rico",126
"Santa Isabel","Puerto Rico",303
"Toa Alta","Puerto Rico",230
"Toa Baja","Puerto Rico",557
"Trujillo Alto","Puerto Rico",408
"Utuado","Puerto Rico",130
"Vega Alta","Puerto Rico",518
"Vega Baja","Puerto Rico",461
"Vieques","Puerto Rico",411
"Villalba","Puerto Rico",169
"Yabucoa","Puerto Rico",313
"Yauco","Puerto Rico",229
"Bristol","Rhode Island",54
"Kent","Rhode Island",54
"Newport","Rhode Island",80
"Providence","Rhode Island",161
"Washington","Rhode Island",38
"Abbeville","South Carolina",265
"Aiken","South Carolina",342
"Allendale","South Carolina",541
"Anderson","South Carolina",215
"Bamberg","South Carolina",693
"Barnwell","South Carolina",681
"Beaufort","South Carolina",216
"Berkeley","South Carolina",243
"Calhoun","South Carolina",372
"Charleston","South Carolina",489
"Cherokee","South Carolina",216
"Chester","South Carolina",340
"Chesterfield","South Carolina",233
"Clarendon","South Carolina",579
"Colleton","South Carolina",577
"Darlington","South Carolina",477
"Dillon","South Carolina",585
"Dorchester","South Carolina",329
"Edgefield","South Carolina",513
"Fairfield","South Carolina",519
"Florence","South Carolina",682
"Georgetown","South Carolina",427
"Greenville","South Carolina",341
"Greenwood","South Carolina",397
"Hampton","South Carolina",701
"Horry","South Carolina",328
"Jasper","South Carolina",312
"Kershaw","South Carolina",337
"Lancaster","South Carolina",372
"Laurens","South Carolina",368
"Lee","South Carolina",1249
"Lexington","South Carolina",319
"Marion","South Carolina",629
"Marlboro","South Carolina",474
"McCormick","South Carolina",366
"Newberry","South Carolina",362
"Oconee","South Carolina",152
"Orangeburg","South Carolina",663
"Pickens","South Carolina",162
"Richland","South Carolina",874
"Saluda","South Carolina",227
"Spartanburg","South Carolina",272
"Sumter","South Carolina",632
"Union","South Carolina",291
"Williamsburg","South Carolina",864
"York","South Carolina",209
"Aurora","South Dakota",-1
"Beadle","South Dakota",34
"Bennett","South Dakota",-1
"Bon Homme","South Dakota",136
"Brookings","South Dakota",46
"Brown","South Dakota",75
"Brule","South Dakota",-1
"Buffalo","South Dakota",-1
"Butte","South Dakota",81
"Campbell","South Dakota",-1
"Charles Mix","South Dakota",-1
"Clark","South Dakota",-1
"Clay","South Dakota",81
"Codington","South Dakota",47
"Corson","South Dakota",0
"Custer","South Dakota",-1
"Davison","South Dakota",67
"Day","South Dakota",0
"Deuel","South Dakota",-1
"Dewey","South Dakota",267
"Douglas","South Dakota",0
"Edmunds","South Dakota",0
"Fall River","South Dakota",-1
"Faulk","South Dakota",-1
"Grant","South Dakota",-1
"Gregory","South Dakota",0
"Haakon","South Dakota",-1
"Hamlin","South Dakota",-1
"Hand","South Dakota",0
"Hanson","South Dakota",0
"Harding","South Dakota",0
"Hughes","South Dakota",77
"Hutchinson","South Dakota",-1
"Hyde","South Dakota",0
"Jackson","South Dakota",245
"Jerauld","South Dakota",-1
"Jones","South Dakota",0
"Kingsbury","South Dakota",-1
"Lake","South Dakota",-1
"Lawrence","South Dakota",43
"Lincoln","South Dakota",30
"Lyman","South Dakota",0
"Marshall","South Dakota",-1
"McCook","South Dakota",-1
"McPherson","South Dakota",-1
"Meade","South Dakota",91
"Mellette","South Dakota",0
"Miner","South Dakota",-1
"Minnehaha","South Dakota",194
"Moody","South Dakota",95
"Oglala Lakota","South Dakota",194
"Pennington","South Dakota",104
"Perkins","South Dakota",-1
"Potter","South Dakota",0
"Roberts","South Dakota",-1
"Sanborn","South Dakota",-1
"Spink","South Dakota",-1
"Stanley","South Dakota",0
"Sully","South Dakota",0
"Todd","South Dakota",-1
"Tripp","South Dakota",0
"Turner","South Dakota",-1
"Union","South Dakota",-1
"Walworth","South Dakota",-1
"Yankton","South Dakota",104
"Ziebach","South Dakota",-1
"Anderson","Tennessee",117
"Bedford","Tennessee",163
"Benton","Tennessee",94
"Bledsoe","Tennessee",576
"Blount","Tennessee",99
"Bradley","Tennessee",145
"Campbell","Tennessee",62
"Cannon","Tennessee",247
"Carroll","Tennessee",132
"Carter","Tennessee",111
"Cheatham","Tennessee",200
"Chester","Tennessee",101
"Claiborne","Tennessee",50
"Clay","Tennessee",-1
"Cocke","Tennessee",141
"Coffee","Tennessee",136
"Crockett","Tennessee",161
"Cumberland","Tennessee",102
"Davidson","Tennessee",640
"Decatur","Tennessee",161
"DeKalb","Tennessee",170
"Dickson","Tennessee",157
"Dyer","Tennessee",124
"Fayette","Tennessee",245
"Fentress","Tennessee",81
"Franklin","Tennessee",74
"Gibson","Tennessee",182
"Giles","Tennessee",179
"Grainger","Tennessee",98
"Greene","Tennessee",98
"Grundy","Tennessee",130
"Hamblen","Tennessee",134
"Hamilton","Tennessee",334
"Hancock","Tennessee",90
"Hardeman","Tennessee",195
"Hardin","Tennessee",145
"Hawkins","Tennessee",83
"Haywood","Tennessee",627
"Henderson","Tennessee",114
"Henry","Tennessee",116
"Hickman","Tennessee",152
"Houston","Tennessee",-1
"Humphreys","Tennessee",114
"Jackson","Tennessee",87
"Jefferson","Tennessee",92
"Johnson","Tennessee",177
"Knox","Tennessee",243
"Lake","Tennessee",877
"Lauderdale","Tennessee",288
"Lawrence","Tennessee",104
"Lewis","Tennessee",57
"Lincoln","Tennessee",137
"Loudon","Tennessee",78
"Macon","Tennessee",49
"Madison","Tennessee",304
"Marion","Tennessee",134
"Marshall","Tennessee",116
"Maury","Tennessee",205
"McMinn","Tennessee",112
"McNairy","Tennessee",100
"Meigs","Tennessee",93
"Monroe","Tennessee",97
"Montgomery","Tennessee",232
"Moore","Tennessee",-1
"Morgan","Tennessee",172
"Obion","Tennessee",122
"Overton","Tennessee",109
"Perry","Tennessee",103
"Pickett","Tennessee",-1
"Polk","Tennessee",75
"Putnam","Tennessee",148
"Rhea","Tennessee",43
"Roane","Tennessee",96
"Robertson","Tennessee",199
"Rutherford","Tennessee",231
"Scott","Tennessee",33
"Sequatchie","Tennessee",85
"Sevier","Tennessee",145
"Shelby","Tennessee",819
"Smith","Tennessee",170
"Stewart","Tennessee",42
"Sullivan","Tennessee",129
"Sumner","Tennessee",144
"Tipton","Tennessee",141
"Trousdale","Tennessee",182
"Unicoi","Tennessee",96
"Union","Tennessee",76
"Van Buren","Tennessee",138
"Warren","Tennessee",115
"Washington","Tennessee",223
"Wayne","Tennessee",122
"Weakley","Tennessee",59
"White","Tennessee",102
"Williamson","Tennessee",92
"Wilson","Tennessee",145
"Anderson","Texas",652
"Andrews","Texas",89
"Angelina","Texas",243
"Aransas","Texas",178
"Archer","Texas",-1
"Armstrong","Texas",-1
"Atascosa","Texas",151
"Austin","Texas",216
"Bailey","Texas",-1
"Bandera","Texas",123
"Bastrop","Texas",247
"Baylor","Texas",-1
"Bee","Texas",480
"Bell","Texas",293
"Bexar","Texas",407
"Blanco","Texas",83
"Borden","Texas",2449
"Bosque","Texas",145
"Bowie","Texas",318
"Brazoria","Texas",295
"Brazos","Texas",208
"Brewster","Texas",62
"Briscoe","Texas",0
"Brooks","Texas",217
"Brown","Texas",118
"Burleson","Texas",153
"Burnet","Texas",125
"Caldwell","Texas",238
"Calhoun","Texas",155
"Callahan","Texas",100
"Cameron","Texas",286
"Camp","Texas",207
"Carson","Texas",-1
"Cass","Texas",198
"Castro","Texas",-1
"Chambers","Texas",101
"Cherokee","Texas",284
"Childress","Texas",144
"Clay","Texas",98
"Cochran","Texas",-1
"Coke","Texas",-1
"Coleman","Texas",130
"Collin","Texas",234
"Collingsworth","Texas",0
"Colorado","Texas",251
"Comal","Texas",152
"Comanche","Texas",104
"Concho","Texas",803
"Cooke","Texas",102
"Coryell","Texas",384
"Cottle","Texas",-1
"Crane","Texas",131
"Crockett","Texas",-1
"Crosby","Texas",371
"Culberson","Texas",-1
"Dallam","Texas",145
"Dallas","Texas",884
"Dawson","Texas",133
"Deaf Smith","Texas",127
"Delta","Texas",202
"Denton","Texas",206
"DeWitt","Texas",-1
"Dickens","Texas",-1
"Dimmit","Texas",88
"Donley","Texas",176
"Duval","Texas",167
"Eastland","Texas",96
"Ector","Texas",219
"Edwards","Texas",310
"El Paso","Texas",356
"Ellis","Texas",236
"Erath","Texas",49
"Falls","Texas",315
"Fannin","Texas",212
"Fayette","Texas",137
"Fisher","Texas",-1
"Floyd","Texas",107
"Foard","Texas",0
"Fort Bend","Texas",258
"Franklin","Texas",121
"Freestone","Texas",514
"Frio","Texas",822
"Gaines","Texas",43
"Galveston","Texas",382
"Garza","Texas",939
"Gillespie","Texas",73
"Glasscock","Texas",-1
"Goliad","Texas",137
"Gonzales","Texas",141
"Gray","Texas",112
"Grayson","Texas",174
"Gregg","Texas",500
"Grimes","Texas",384
"Guadalupe","Texas",130
"Hale","Texas",158
"Hall","Texas",-1
"Hamilton","Texas",83
"Hansford","Texas",-1
"Hardeman","Texas",-1
"Hardin","Texas",125
"Harris","Texas",705
"Harrison","Texas",182
"Hartley","Texas",-1
"Haskell","Texas",315
"Hays","Texas",186
"Hemphill","Texas",-1
"Henderson","Texas",185
"Hidalgo","Texas",230
"Hill","Texas",135
"Hockley","Texas",91
"Hood","Texas",127
"Hopkins","Texas",162
"Houston","Texas",690
"Howard","Texas",584
"Hudspeth","Texas",214
"Hunt","Texas",159
"Hutchinson","Texas",117
"Irion","Texas",-1
"Jack","Texas",117
"Jackson","Texas",66
"Jasper","Texas",138
"Jeff Davis","Texas",-1
"Jefferson","Texas",583
"Jim Hogg","Texas",147
"Jim Wells","Texas",98
"Johnson","Texas",198
"Jones","Texas",207
"Karnes","Texas",632
"Kaufman","Texas",277
"Kendall","Texas",134
"Kenedy","Texas",0
"Kent","Texas",0
"Kerr","Texas",155
"Kimble","Texas",-1
"King","Texas",0
"Kinney","Texas",252
"Kleberg","Texas",116
"Knox","Texas",-1
"La Salle","Texas",248
"Lamar","Texas",179
"Lamb","Texas",205
"Lampasas","Texas",113
"Lavaca","Texas",142
"Lee","Texas",149
"Leon","Texas",204
"Liberty","Texas",315
"Limestone","Texas",224
"Lipscomb","Texas",0
"Live Oak","Texas",105
"Llano","Texas",163
"Loving","Texas",0
"Lubbock","Texas",208
"Lynn","Texas",103
"Madison","Texas",433
"Marion","Texas",310
"Martin","Texas",-1
"Mason","Texas",-1
"Matagorda","Texas",255
"Maverick","Texas",206
"McCulloch","Texas",165
"McLennan","Texas",239
"McMullen","Texas",0
"Medina","Texas",150
"Menard","Texas",-1
"Midland","Texas",154
"Milam","Texas",197
"Mills","Texas",0
"Mitchell","Texas",116
"Montague","Texas",83
"Montgomery","Texas",188
"Moore","Texas",132
"Morris","Texas",164
"Motley","Texas",0
"Nacogdoches","Texas",208
"Navarro","Texas",246
"Newton","Texas",94
"Nolan","Texas",148
"Nueces","Texas",215
"Ochiltree","Texas",67
"Oldham","Texas",0
"Orange","Texas",228
"Palo Pinto","Texas",110
"Panola","Texas",205
"Parker","Texas",113
"Parmer","Texas",78
"Pecos","Texas",163
"Polk","Texas",449
"Potter","Texas",307
"Presidio","Texas",96
"Rains","Texas",102
"Randall","Texas",132
"Reagan","Texas",-1
"Real","Texas",-1
"Red River","Texas",165
"Reeves","Texas",883
"Refugio","Texas",-1
"Roberts","Texas",0
"Robertson","Texas",147
"Rockwall","Texas",138
"Runnels","Texas",138
"Rusk","Texas",294
"Sabine","Texas",130
"San Augustine","Texas",226
"San Jacinto","Texas",201
"San Patricio","Texas",145
"San Saba","Texas",154
"Schleicher","Texas",-1
"Scurry","Texas",103
"Shackelford","Texas",-1
"Shelby","Texas",207
"Sherman","Texas",-1
"Smith","Texas",265
"Somervell","Texas",77
"Starr","Texas",78
"Stephens","Texas",189
"Sterling","Texas",0
"Stonewall","Texas",-1
"Sutton","Texas",-1
"Swisher","Texas",115
"Tarrant","Texas",358
"Taylor","Texas",203
"Terrell","Texas",-1
"Terry","Texas",287
"Throckmorton","Texas",0
"Titus","Texas",149
"Tom Green","Texas",153
"Travis","Texas",468
"Trinity","Texas",234
"Tyler","Texas",385
"Upshur","Texas",134
"Upton","Texas",-1
"Uvalde","Texas",120
"Val Verde","Texas",126
"Van Zandt","Texas",114
"Victoria","Texas",188
"Walker","Texas",1025
"Waller","Texas",160
"Ward","Texas",94
"Washington","Texas",175
"Webb","Texas",241
"Wharton","Texas",244
"Wheeler","Texas",-1
"Wichita","Texas",144
"Wilbarger","Texas",-1
"Willacy","Texas",663
"Williamson","Texas",181
"Wilson","Texas",117
"Winkler","Texas",112
"Wise","Texas",110
"Wood","Texas",172
"Yoakum","Texas",76
"Young","Texas",53
"Zapata","Texas",101
"Zavala","Texas",116
"Beaver","Utah",-1
"Box Elder","Utah",63
"Cache","Utah",53
"Carbon","Utah",71
"Daggett","Utah",0
"Davis","Utah",78
"Duchesne","Utah",59
"Emery","Utah",-1
"Garfield","Utah",-1
"Grand","Utah",108
"Iron","Utah",59
"Juab","Utah",-1
"Kane","Utah",90
"Millard","Utah",96
"Morgan","Utah",-1
"Piute","Utah",0
"Rich","Utah",-1
"Salt Lake","Utah",227
"San Juan","Utah",41
"Sanpete","Utah",42
"Sevier","Utah",40
"Summit","Utah",92
"Tooele","Utah",74
"Uintah","Utah",50
"Utah","Utah",51
"Wasatch","Utah",36
"Washington","Utah",88
"Wayne","Utah",-1
"Weber","Utah",92
"Addison","Vermont",28
"Bennington","Vermont",32
"Caledonia","Vermont",39
"Chittenden","Vermont",25
"Essex","Vermont",-1
"Franklin","Vermont",17
"Grand Isle","Vermont",-1
"Lamoille","Vermont",-1
"Orange","Vermont",20
"Orleans","Vermont",39
"Rutland","Vermont",30
"Washington","Vermont",22
"Windham","Vermont",27
"Windsor","Vermont",29
"Accomack","Virginia",393
"Albemarle","Virginia",199
"Alexandria","Virginia",836
"Alleghany","Virginia",125
"Amelia","Virginia",170
"Amherst","Virginia",180
"Appomattox","Virginia",103
"Arlington","Virginia",578
"Augusta","Virginia",90
"Bath","Virginia",-1
"Bedford","Virginia",100
"Bedford","Virginia",undefined
"Bland","Virginia",161
"Botetourt","Virginia",123
"Bristol","Virginia",189
"Brunswick","Virginia",421
"Buchanan","Virginia",83
"Buckingham","Virginia",381
"Buena Vista","Virginia",92
"Campbell","Virginia",169
"Caroline","Virginia",268
"Carroll","Virginia",61
"Charles City","Virginia",342
"Charlotte","Virginia",179
"Charlottesville","Virginia",428
"Chesapeake","Virginia",322
"Chesterfield","Virginia",242
"Clarke","Virginia",149
"Colonial Heights","Virginia",264
"Covington","Virginia",361
"Craig","Virginia",111
"Culpeper","Virginia",236
"Cumberland","Virginia",245
"Danville","Virginia",524
"Dickenson","Virginia",49
"Dinwiddie","Virginia",192
"Emporia","Virginia",463
"Essex","Virginia",229
"Fairfax","Virginia",281
"Fairfax","Virginia",423
"Falls Church","Virginia",378
"Fauquier","Virginia",152
"Floyd","Virginia",139
"Fluvanna","Virginia",169
"Franklin","Virginia",127
"Franklin","Virginia",408
"Frederick","Virginia",132
"Fredericksburg","Virginia",479
"Galax","Virginia",96
"Giles","Virginia",98
"Gloucester","Virginia",149
"Goochland","Virginia",314
"Grayson","Virginia",139
"Greene","Virginia",148
"Greensville","Virginia",687
"Halifax","Virginia",280
"Hampton","Virginia",568
"Hanover","Virginia",134
"Harrisonburg","Virginia",180
"Henrico","Virginia",354
"Henry","Virginia",145
"Highland","Virginia",-1
"Hopewell","Virginia",571
"Isle of Wight","Virginia",243
"James City","Virginia",131
"King and Queen","Virginia",230
"King George","Virginia",203
"King William","Virginia",74
"Lancaster","Virginia",401
"Lee","Virginia",89
"Lexington","Virginia",-1
"Loudoun","Virginia",128
"Louisa","Virginia",141
"Lunenburg","Virginia",284
"Lynchburg","Virginia",343
"Madison","Virginia",105
"Manassas","Virginia",331
"Manassas Park","Virginia",215
"Martinsville","Virginia",296
"Mathews","Virginia",204
"Mecklenburg","Virginia",311
"Middlesex","Virginia",202
"Montgomery","Virginia",81
"Nelson","Virginia",239
"New Kent","Virginia",177
"Newport News","Virginia",611
"Norfolk","Virginia",932
"Northampton","Virginia",397
"Northumberland","Virginia",166
"Norton","Virginia",150
"Nottoway","Virginia",648
"Orange","Virginia",193
"Page","Virginia",83
"Patrick","Virginia",71
"Petersburg","Virginia",1420
"Pittsylvania","Virginia",160
"Poquoson","Virginia",87
"Portsmouth","Virginia",844
"Powhatan","Virginia",251
"Prince Edward","Virginia",250
"Prince George","Virginia",454
"Prince William","Virginia",290
"Pulaski","Virginia",84
"Radford","Virginia",36
"Rappahannock","Virginia",172
"Richmond","Virginia",350
"Richmond","Virginia",861
"Roanoke","Virginia",136
"Roanoke","Virginia",503
"Rockbridge","Virginia",75
"Rockingham","Virginia",91
"Russell","Virginia",43
"Salem","Virginia",154
"Scott","Virginia",63
"Shenandoah","Virginia",91
"Smyth","Virginia",149
"Southampton","Virginia",241
"Spotsylvania","Virginia",190
"Stafford","Virginia",190
"Staunton","Virginia",277
"Suffolk","Virginia",349
"Surry","Virginia",284
"Sussex","Virginia",596
"Tazewell","Virginia",57
"Virginia Beach","Virginia",315
"Warren","Virginia",187
"Washington","Virginia",74
"Waynesboro","Virginia",285
"Westmoreland","Virginia",184
"Williamsburg","Virginia",316
"Winchester","Virginia",340
"Wise","Virginia",118
"Wythe","Virginia",97
"York","Virginia",118
"Adams","Washington",94
"Asotin","Washington",82
"Benton","Washington",112
"Chelan","Washington",94
"Clallam","Washington",115
"Clark","Washington",201
"Columbia","Washington",-1
"Cowlitz","Washington",161
"Douglas","Washington",87
"Ferry","Washington",73
"Franklin","Washington",124
"Garfield","Washington",-1
"Grant","Washington",76
"Grays Harbor","Washington",157
"Island","Washington",142
"Jefferson","Washington",150
"King","Washington",366
"Kitsap","Washington",152
"Kittitas","Washington",76
"Klickitat","Washington",117
"Lewis","Washington",98
"Lincoln","Washington",74
"Mason","Washington",151
"Okanogan","Washington",87
"Pacific","Washington",175
"Pend Oreille","Washington",82
"Pierce","Washington",211
"San Juan","Washington",144
"Skagit","Washington",98
"Skamania","Washington",47
"Snohomish","Washington",175
"Spokane","Washington",162
"Stevens","Washington",51
"Thurston","Washington",135
"Wahkiakum","Washington",-1
"Walla Walla","Washington",107
"Whatcom","Washington",125
"Whitman","Washington",63
"Yakima","Washington",126
"District of Columbia","Washington, D.C.",-4
"Barbour","West Virginia",49
"Berkeley","West Virginia",173
"Boone","West Virginia",77
"Braxton","West Virginia",59
"Brooke","West Virginia",68
"Cabell","West Virginia",320
"Calhoun","West Virginia",-1
"Clay","West Virginia",-1
"Doddridge","West Virginia",106
"Fayette","West Virginia",100
"Gilmer","West Virginia",272
"Grant","West Virginia",81
"Greenbrier","West Virginia",98
"Hampshire","West Virginia",98
"Hancock","West Virginia",68
"Hardy","West Virginia",120
"Harrison","West Virginia",113
"Jackson","West Virginia",37
"Jefferson","West Virginia",121
"Kanawha","West Virginia",275
"Lewis","West Virginia",-1
"Lincoln","West Virginia",53
"Logan","West Virginia",74
"Marion","West Virginia",73
"Marshall","West Virginia",100
"Mason","West Virginia",40
"McDowell","West Virginia",76
"Mercer","West Virginia",119
"Mineral","West Virginia",65
"Mingo","West Virginia",67
"Monongalia","West Virginia",129
"Monroe","West Virginia",245
"Morgan","West Virginia",102
"Nicholas","West Virginia",58
"Ohio","West Virginia",135
"Pendleton","West Virginia",83
"Pleasants","West Virginia",202
"Pocahontas","West Virginia",84
"Preston","West Virginia",114
"Putnam","West Virginia",75
"Raleigh","West Virginia",201
"Randolph","West Virginia",97
"Ritchie","West Virginia",122
"Roane","West Virginia",-1
"Summers","West Virginia",117
"Taylor","West Virginia",49
"Tucker","West Virginia",-1
"Tyler","West Virginia",81
"Upshur","West Virginia",39
"Wayne","West Virginia",48
"Webster","West Virginia",72
"Wetzel","West Virginia",47
"Wirt","West Virginia",-1
"Wood","West Virginia",92
"Wyoming","West Virginia",75
"Adams","Wisconsin",113
"Ashland","Wisconsin",61
"Barron","Wisconsin",78
"Bayfield","Wisconsin",45
"Brown","Wisconsin",109
"Buffalo","Wisconsin",-1
"Burnett","Wisconsin",36
"Calumet","Wisconsin",35
"Chippewa","Wisconsin",53
"Clark","Wisconsin",62
"Columbia","Wisconsin",81
"Crawford","Wisconsin",51
"Dane","Wisconsin",166
"Dodge","Wisconsin",94
"Door","Wisconsin",101
"Douglas","Wisconsin",71
"Dunn","Wisconsin",46
"Eau Claire","Wisconsin",56
"Florence","Wisconsin",0
"Fond du Lac","Wisconsin",64
"Forest","Wisconsin",-1
"Grant","Wisconsin",48
"Green","Wisconsin",22
"Green Lake","Wisconsin",56
"Iowa","Wisconsin",65
"Iron","Wisconsin",-1
"Jackson","Wisconsin",-1
"Jefferson","Wisconsin",53
"Juneau","Wisconsin",78
"Kenosha","Wisconsin",148
"Kewaunee","Wisconsin",52
"La Crosse","Wisconsin",104
"Lafayette","Wisconsin",-1
"Langlade","Wisconsin",-1
"Lincoln","Wisconsin",54
"Manitowoc","Wisconsin",55
"Marathon","Wisconsin",58
"Marinette","Wisconsin",60
"Marquette","Wisconsin",96
"Menominee","Wisconsin",233
"Milwaukee","Wisconsin",401
"Monroe","Wisconsin",63
"Oconto","Wisconsin",21
"Oneida","Wisconsin",48
"Outagamie","Wisconsin",79
"Ozaukee","Wisconsin",38
"Pepin","Wisconsin",0
"Pierce","Wisconsin",44
"Polk","Wisconsin",42
"Portage","Wisconsin",58
"Price","Wisconsin",-1
"Racine","Wisconsin",147
"Richland","Wisconsin",-1
"Rock","Wisconsin",114
"Rusk","Wisconsin",-1
"Sauk","Wisconsin",68
"Sawyer","Wisconsin",55
"Shawano","Wisconsin",49
"Sheboygan","Wisconsin",69
"St. Croix","Wisconsin",35
"Taylor","Wisconsin",35
"Trempealeau","Wisconsin",45
"Vernon","Wisconsin",48
"Vilas","Wisconsin",-1
"Walworth","Wisconsin",52
"Washburn","Wisconsin",73
"Washington","Wisconsin",44
"Waukesha","Wisconsin",48
"Waupaca","Wisconsin",32
"Waushara","Wisconsin",71
"Winnebago","Wisconsin",80
"Wood","Wisconsin",78
"Albany","Wyoming",35
"Big Horn","Wyoming",-1
"Campbell","Wyoming",64
"Carbon","Wyoming",73
"Converse","Wyoming",-1
"Crook","Wyoming",-1
"Fremont","Wyoming",84
"Goshen","Wyoming",88
"Hot Springs","Wyoming",0
"Johnson","Wyoming",-1
"Laramie","Wyoming",95
"Lincoln","Wyoming",30
"Natrona","Wyoming",43
"Niobrara","Wyoming",-1
"Park","Wyoming",28
"Platte","Wyoming",-1
"Sheridan","Wyoming",38
"Sublette","Wyoming",0
"Sweetwater","Wyoming",49
"Teton","Wyoming",24
"Uinta","Wyoming",-1
"Washakie","Wyoming",-1
"Weston","Wyoming",-1
